counts,emotion,percent
22,amaz,0.0015887917960569077
20,scream,0.0014443561782335524
20,cheer,0.0014443561782335524
20,unamus,0.0014443561782335524
20,sour,0.0014443561782335524
20,fun,0.0014443561782335524
20,dissapoint,0.0014443561782335524
19,smug,0.0013721383693218747
18,bewild,0.0012999205604101972
18,chill,0.0012999205604101972
18,bother,0.0012999205604101972
17,daze,0.0012277027514985194
17,smirk,0.0012277027514985194
17,what,0.0012277027514985194
17,yell,0.0012277027514985194
17,intens,0.0012277027514985194
17,creepi,0.0012277027514985194
16,comfort,0.001155484942586842
16,frighten,0.001155484942586842
16,amus,0.001155484942586842
16,grin,0.001155484942586842
16,terrifi,0.001155484942586842
16,passion,0.001155484942586842
15,hungri,0.0010832671336751642
14,irrit,0.0010110493247634867
14,startl,0.0010110493247634867
14,squint,0.0010110493247634867
14,freak,0.0010110493247634867
13,joke,0.0009388315158518091
13,shout,0.0009388315158518091
13,critic,0.0009388315158518091
13,emotionless,0.0009388315158518091
13,apathet,0.0009388315158518091
13,babi,0.0009388315158518091
12,stress,0.0008666137069401315
12,suspici,0.0008666137069401315
12,perplex,0.0008666137069401315
12,eager,0.0008666137069401315
12,stern,0.0008666137069401315
12,determin,0.0008666137069401315
11,passiv,0.0007943958980284538
11,stubborn,0.0007943958980284538
11,wow,0.0007943958980284538
11,foolish,0.0007943958980284538
11,mischiev,0.0007943958980284538
11,white,0.0007943958980284538
11,unfamiliar,0.0007943958980284538
11,mischevi,0.0007943958980284538
11,pout,0.0007943958980284538
11,collect,0.0007943958980284538
11,old,0.0007943958980284538
10,pretti,0.0007221780891167762
10,laugh,0.0007221780891167762
10,helpless,0.0007221780891167762
10,think,0.0007221780891167762
10,baffl,0.0007221780891167762
10,uncertain,0.0007221780891167762
10,satisfi,0.0007221780891167762
9,grumpi,0.0006499602802050986
9,naughti,0.0006499602802050986
9,sli,0.0006499602802050986
9,enthusiast,0.0006499602802050986
9,anticip,0.0006499602802050986
9,fake,0.0006499602802050986
9,scari,0.0006499602802050986
9,smiley,0.0006499602802050986
8,well,0.000577742471293421
8,unawar,0.000577742471293421
8,unpleasnat,0.000577742471293421
8,relax,0.000577742471293421
8,horrifi,0.000577742471293421
8,indiffer,0.000577742471293421
8,discont,0.000577742471293421
8,emot,0.000577742471293421
8,puzzl,0.000577742471293421
8,concentr,0.000577742471293421
8,unimpress,0.000577742471293421
8,devast,0.000577742471293421
8,judg,0.000577742471293421
8,speechless,0.000577742471293421
8,remors,0.000577742471293421
8,heartbroken,0.000577742471293421
8,cranki,0.000577742471293421
7,humor,0.0005055246623817433
7,distract,0.0005055246623817433
7,mock,0.0005055246623817433
7,tantrum,0.0005055246623817433
7,stun,0.0005055246623817433
7,analyz,0.0005055246623817433
7,surpis,0.0005055246623817433
7,unphas,0.0005055246623817433
7,unfocus,0.0005055246623817433
7,peac,0.0005055246623817433
7,blond,0.0005055246623817433
7,scard,0.0005055246623817433
7,loss,0.0005055246623817433
7,wrinkl,0.0005055246623817433
7,frown,0.0005055246623817433
7,sob,0.0005055246623817433
7,unsur,0.0005055246623817433
6,sacr,0.0004333068534700657
6,stop,0.0004333068534700657
6,overwhelm,0.0004333068534700657
6,moustach,0.0004333068534700657
6,glass,0.0004333068534700657
6,love,0.0004333068534700657
6,intruig,0.0004333068534700657
6,apprehens,0.0004333068534700657
6,dirti,0.0004333068534700657
6,exit,0.0004333068534700657
6,good,0.0004333068534700657
5,loud,0.0003610890445583881
5,mourn,0.0003610890445583881
5,unboth,0.0003610890445583881
5,elat,0.0003610890445583881
5,forc,0.0003610890445583881
5,care,0.0003610890445583881
5,caught,0.0003610890445583881
5,child,0.0003610890445583881
5,intimid,0.0003610890445583881
5,hair,0.0003610890445583881
5,lone,0.0003610890445583881
5,social,0.0003610890445583881
5,blue,0.0003610890445583881
5,apathi,0.0003610890445583881
5,aggress,0.0003610890445583881
5,girl,0.0003610890445583881
5,dizzi,0.0003610890445583881
5,eat,0.0003610890445583881
5,teas,0.0003610890445583881
5,embarrass,0.0003610890445583881
5,energet,0.0003610890445583881
5,natur,0.0003610890445583881
5,deject,0.0003610890445583881
4,needi,0.0002888712356467105
4,great,0.0002888712356467105
4,kiss,0.0002888712356467105
4,mischievi,0.0002888712356467105
4,innoc,0.0002888712356467105
4,teaful,0.0002888712356467105
4,betray,0.0002888712356467105
4,craze,0.0002888712356467105
4,cold,0.0002888712356467105
4,shi,0.0002888712356467105
4,disinterest,0.0002888712356467105
4,noth,0.0002888712356467105
4,monoton,0.0002888712356467105
4,distast,0.0002888712356467105
4,cring,0.0002888712356467105
4,averag,0.0002888712356467105
4,smell,0.0002888712356467105
4,scold,0.0002888712356467105
4,fine,0.0002888712356467105
4,fierc,0.0002888712356467105
4,hope,0.0002888712356467105
4,bitter,0.0002888712356467105
4,hopeless,0.0002888712356467105
4,process,0.0002888712356467105
4,laughter,0.0002888712356467105
4,fruster,0.0002888712356467105
4,genuin,0.0002888712356467105
4,reject,0.0002888712356467105
4,argument,0.0002888712356467105
4,intox,0.0002888712356467105
4,offguard,0.0002888712356467105
4,convers,0.0002888712356467105
4,purs,0.0002888712356467105
4,speak,0.0002888712356467105
4,pleasant,0.0002888712356467105
4,disturb,0.0002888712356467105
4,adult,0.0002888712356467105
4,mellow,0.0002888712356467105
4,forehead,0.0002888712356467105
4,shini,0.0002888712356467105
4,despair,0.0002888712356467105
4,su,0.0002888712356467105
3,unconfort,0.00021665342673503286
3,takenaback,0.00021665342673503286
3,deviou,0.00021665342673503286
